date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:41:16	225/225	---MC-	302	error ('Found')	text/html	date:Mon,%2019%20Apr%202010%2002:41:15%20GMT	http://aidan-cage.diaryland.com/robots.txt		(from )
22:41:17	17812/17812	---M--	200	added ('OK')	text/html	etag:%2237f982b-4594-4b5f6f15%22	http://aidan-cage.diaryland.com/	C:/Users/Tristan/My%20Web%20Sites/to%20aid%20an_%20cage/aidan-cage.diaryland.com/index.html	(from )
22:41:21	6423/6423	---M--	200	added ('OK')	image/jpeg	etag:%221917-20276980%22	http://img23.photobucket.com/albums/v69/film-grrl/Saxaphone.jpg	C:/Users/Tristan/My%20Web%20Sites/to%20aid%20an_%20cage/img23.photobucket.com/albums/v69/film-grrl/Saxaphone.jpg	(from )
22:41:21	3523/3523	---M--	200	added ('OK')	text/html	etag:%2237fa2d2-dc3-4b5f6f15%22	http://aidan-cage.diaryland.com/090318_59.html	C:/Users/Tristan/My%20Web%20Sites/to%20aid%20an_%20cage/aidan-cage.diaryland.com/090318_59.html	(from )
22:41:22	17812/17812	---M--	200	added ('OK')	text/html	etag:%2237f982b-4594-4b5f6f15%22	http://aidan-cage.diaryland.com/index.html	C:/Users/Tristan/My%20Web%20Sites/to%20aid%20an_%20cage/aidan-cage.diaryland.com/index-2.html	(from )
22:41:23	262/262	---M--	200	added ('OK')	image/gif	etag:%2222dbaff-106-423b895f%22	http://images.diaryland.com/diaryimages/diaryland1.gif	C:/Users/Tristan/My%20Web%20Sites/to%20aid%20an_%20cage/images.diaryland.com/diaryimages/diaryland1.gif	(from )
22:41:24	76129/76129	---M--	200	added ('OK')	text/html	etag:%2237f9988-12961-4b5f6f16%22	http://aidan-cage.diaryland.com/older.html	C:/Users/Tristan/My%20Web%20Sites/to%20aid%20an_%20cage/aidan-cage.diaryland.com/older.html	(from )
22:41:25	4366/4366	---M--	200	added ('OK')	text/html	etag:%2237fa2ac-110e-4b5f6f15%22	http://aidan-cage.diaryland.com/081118_90.html	C:/Users/Tristan/My%20Web%20Sites/to%20aid%20an_%20cage/aidan-cage.diaryland.com/081118_90.html	(from http://aidan-cage.diaryland.com/)
22:41:25	17812/17812	---M--	200	added ('OK')	text/html	etag:%2237fa3a7-4594-4b5f6f15%22	http://aidan-cage.diaryland.com/seals.html	C:/Users/Tristan/My%20Web%20Sites/to%20aid%20an_%20cage/aidan-cage.diaryland.com/seals.html	(from http://aidan-cage.diaryland.com/)
22:41:26	4399/4399	---M--	200	added ('OK')	text/html	etag:%2237fa29d-112f-4b5f6f15%22	http://aidan-cage.diaryland.com/080928_2.html	C:/Users/Tristan/My%20Web%20Sites/to%20aid%20an_%20cage/aidan-cage.diaryland.com/080928_2.html	(from http://aidan-cage.diaryland.com/)
22:41:26	3800/3800	---M--	200	added ('OK')	text/html	etag:%2237fa29b-ed8-4b5f6f15%22	http://aidan-cage.diaryland.com/080923_89.html	C:/Users/Tristan/My%20Web%20Sites/to%20aid%20an_%20cage/aidan-cage.diaryland.com/080923_89.html	(from http://aidan-cage.diaryland.com/)
22:41:27	4124/4124	---M--	200	added ('OK')	text/html	etag:%2237fa29a-101c-4b5f6f15%22	http://aidan-cage.diaryland.com/080923_27.html	C:/Users/Tristan/My%20Web%20Sites/to%20aid%20an_%20cage/aidan-cage.diaryland.com/080923_27.html	(from http://aidan-cage.diaryland.com/)
22:41:27	3520/3520	---M--	200	added ('OK')	text/html	etag:%2237fa297-dc0-49c03c68%22	http://aidan-cage.diaryland.com/080917_51.html	C:/Users/Tristan/My%20Web%20Sites/to%20aid%20an_%20cage/aidan-cage.diaryland.com/080917_51.html	(from http://aidan-cage.diaryland.com/)
